Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.88098007,-80.14693359,56:31.5,10/21/21,9,1.056,235.63,-7.117706431,0.93,152.7,143.03,1.35,-1.38,36.1,0,3.63,3.64,93,30,511.6,16.2,-1.8,D,1154.6,0,360.829,1,0.85,160,43.1,-80.14446913,25.88334941,0,0,1,N,343.1523,65,65,11,5,5,43.10926,0,9999.99,3.65,3.777,2,9,32.2,0,32.29999924,48.39,1563.82473,10/21/21,10:32:44,26.69,70.65,48.39,1.362,7.91,-53.8,-5.2,46.4,3323,90.7,5.54,12.8,
25.88097607,-80.14693028,56:32.5,10/21/21,10,1.051,187.93,-7.117706431,0.87,144,134.79,3.15,12.5,36.1,0,3.6,3.6,93,30,511.6,16.2,-1.8,D,1154.6,0,360.929,1,0.79,160,43.01,-80.14446913,25.88334941,0,0,1,N,343.1523,73,73,11,5,5,43.02061,0,9999.99,3.62,3.747,2,9,32.1,0,32.20000076,34.67,1549.51124,10/21/21,10:32:45,26.69,52.68,34.67,1.422,7.91,-53.6,-1.3,18.6,194246,90.9,5.99,12.9,
25.8809728,-80.14692691,56:33.5,10/21/21,11,0.86,168.64,-7.117706431,0.83,141.7,132.63,2.43,-1.11,36.1,0.01,3.52,3.52,93,30,511.6,16.2,-1.8,D,1154.6,0,360.964,1,0.84,160,42.94,-80.14446913,25.88334941,0,0,1,N,0.1533501,72,72,11,5,5,41.88063,0,9999.99,3.54,3.666258,2,9,32.1,0,32.09999847,48.31,1563.37502,10/21/21,10:32:46,26.69,70.55,48.31,1.311,7.9,-53.6,-3.1,35.4,149258,91,5.56,12.9,
25.88096919,-80.14692369,56:34.5,10/21/21,11,0.981,165.21,-7.117706431,0.83,136.8,128.04,2.63,-0.52,36.1,0,3.49,3.49,93,29,511.6,16.2,-1.8,D,1176.3,0,361.039,1,0.88,160,42.85,-80.14446913,25.88334941,0,0,1,N,0.6599532,73,73,11,5,5,38.37585,0,9999.99,3.51,3.637,2,9,32,0,32.09999847,48.28,1563.3442,10/21/21,10:32:47,26.69,70.51,48.28,1.336,7.9,-53.6,-4,10.2,159822,91.2,5.57,13,
25.88096595,-80.14692282,56:35.5,10/21/21,11,0.823,156.31,-7.117706431,0.83,131.2,122.82,1.53,2.49,36.1,0,3.47,3.47,93,29,511.6,16.2,-1.8,D,1176.3,0,361.244,1,0.86,160,42.81,-80.14446913,25.88334941,0,0,1,N,0.9773832,67,67,11,5,5,36.47923,0,9999.99,3.49,3.617,2,9,31.9,0,31.89999962,48.17,1562.86039,10/21/21,10:32:48,26.69,70.36,48.17,1.307,7.91,-53.7,-5,-2.7,137963,91.2,5.57,12.8,
25.88096242,-80.14691952,56:36.5,10/21/21,11,1.296,139,-7.117706431,0.83,127.7,119.58,3.71,0.2,36.1,0,3.52,3.52,93,29,511.6,16.2,-1.8,D,1176.3,0,361.309,1,0.94,160,42.72,-80.14446913,25.88334941,0,0,1,N,1.48209,79,79,11,5,5,33.32851,0,9999.99,3.55,3.677,2,9,31.9,0,31.89999962,48.17,1562.86032,10/21/21,10:32:49,26.69,70.36,48.17,1.335,7.9,-53.6,-3.8,79.4,204164,91.3,5.58,12.9,
25.88095905,-80.14691499,56:37.5,10/21/21,11,0.91,138.69,-7.117706431,0.83,121.6,113.93,1.31,-4.18,36.2,0.01,3.49,3.5,93,29,511.6,16.2,-1.8,D,1173.6,0,361.277,1,0.96,160,42.63,-80.14446913,25.88334941,0,0,1,N,2.062518,65,65,11,5,5,29.58994,0,9999.99,3.5,3.627,2,9,31.8,0,31.79999924,48.17,1562.67478,10/21/21,10:32:50,26.69,70.36,48.17,1.283,7.9,-53.6,-3.1,-5.9,166988,91.4,5.59,13,
25.88095561,-80.1469113,56:38.5,10/21/21,11,0.992,141.97,-7.117706431,0.83,112.8,105.79,1.44,6.04,36.2,0,3.46,3.46,93,29,511.6,16.2,-1.8,D,1173.6,0,361.308,1,0.97,160,42.55,-80.14446913,25.88334941,0,0,1,N,2.594564,66,66,11,5,5,26.43706,0,9999.99,3.48,3.607,2,9,31.8,0,31.79999924,48.14,1562.64376,10/21/21,10:32:51,26.69,70.33,48.14,1.384,7.9,-53.5,-5.3,-6.7,185499,91.4,5.59,13,
25.88095228,-80.14690673,56:39.6,10/21/21,11,1.054,136.3,-7.117706431,0.83,106.6,100.05,2.79,-0.16,36.2,0,3.49,3.49,93,29,511.6,16.2,-1.8,D,1173.6,0,361.272,1,0.93,160,42.45,-80.14446913,25.88334941,0,0,1,N,3.195184,74,74,11,5,5,22.74729,0,9999.99,3.5,3.627,2,9,31.7,0,31.70000076,48.06,1562.37421,10/21/21,10:32:52,26.7,70.22,48.06,1.311,7.91,-53.7,-5.1,0,239830,91.5,5.6,12.7,
25.88095104,-80.14690173,56:40.6,10/21/21,11,1.194,136.3,-7.117706431,0.83,96.9,91.01,2.37,-1.17,36.2,0.01,3.47,3.48,93,29,511.6,16.2,-1.8,D,1173.6,0,361.037,1,0.93,160,42.38,-80.14446913,25.88334941,0,0,1,N,3.652985,71,71,11,5,5,19.10201,0,9999.99,3.49,3.617,2,9,31.7,0,31.70000076,48.06,1562.37431,10/21/21,10:32:53,26.69,70.23,48.06,1.269,7.9,-53.6,-4.8,-3.5,197766,91.5,5.6,12.9,
25.88095126,-80.14689602,56:41.6,10/21/21,11,1.152,136.3,-7.117706431,0.83,94.3,88.58,2.2,2.31,36.2,0,3.45,3.46,93,29,511.6,16.2,-1.8,D,1171.7,0,360.634,1,0.91,160,42.32,-80.14446913,25.88334941,0,0,1,N,4.060005,70,70,11,5,5,16.05327,0,9999.99,3.47,3.597,2,9,31.6,0,31.70000076,48.03,1562.34349,10/21/21,10:32:54,26.69,70.19,48.03,1.307,7.91,-53.7,-5,-3.7,166682,91.6,5.61,12.9,
25.88095266,-80.14689055,56:42.6,10/21/21,11,0.93,136.3,-7.117706431,0.83,83.7,78.57,1.28,4.93,36.2,0,3.44,3.44,93,29,511.6,16.2,-1.8,D,1181.4,0,360.151,1,0.91,160,42.27,-80.14446913,25.88334941,0,0,1,N,4.369568,65,65,11,5,5,14.32914,0,9999.99,3.46,3.587,2,9,31.6,0,31.60000038,47.99,1562.11459,10/21/21,10:32:55,26.69,70.13,47.99,1.284,7.91,-53.7,-4,-7.5,200423,91.7,5.61,12.9,
25.88095463,-80.14688604,56:43.6,10/21/21,11,0.842,136.3,-7.117706431,0.83,79.2,74.28,1.59,-1.02,36.2,0,3.39,3.39,93,29,511.6,16.2,-1.8,D,1181.4,0,359.685,1,0.97,160,42.24,-80.14446913,25.88334941,0,0,1,N,4.552388,67,67,11,5,5,13.32738,0,9999.99,3.42,3.547,2,9,31.5,0,31.5,36.6,1550.14191,10/21/21,10:32:56,26.69,55.28,36.6,1.378,7.91,-53.8,-4.8,21.8,177079,91.8,5.99,12.8,
25.8809572,-80.14688057,56:44.6,10/21/21,11,1.079,136.3,-7.117706431,0.83,71.4,66.77,1.45,4.73,36.2,0,3.44,3.44,93,29,511.6,16.2,-1.8,D,1181.4,0,359.106,1,0.98,160,42.21,-80.14446913,25.88334941,0,0,1,N,4.762166,66,66,11,5,5,12.20831,0,9999.99,3.44,3.567,2,9,31.5,0,31.5,7.32,1519.9998,10/21/21,10:32:57,26.69,12.79,7.32,1.341,7.91,-53.8,-6,0.8,148953,91.8,7.06,12.9,
25.88095974,-80.14687786,56:45.6,10/21/21,11,0.934,136.3,-7.117706431,0.83,66.7,62.21,1.35,0.44,36.2,0,3.33,3.33,93,29,511.6,16.2,-1.8,D,1181.4,0,358.714,1,0.98,160,42.2,-80.14446913,25.88334941,0,0,1,N,4.774788,65,65,11,5,5,12.14244,0,9999.99,3.34,3.467,2,9,31.5,0,31.5,47.92,1561.85433,10/21/21,10:32:58,26.68,70.04,47.92,1.294,7.9,-53.6,-4.6,1.8,74119,91.7,5.62,13,
25.88096506,-80.14687042,56:46.9,10/21/21,11,0.885,136.3,-7.117706431,0.83,59.1,54.75,0.8,7.71,36.2,0.01,3.33,3.34,93,29,511.5,16.2,-1.8,D,1168.3,0,357.776,1,0.99,160,42.18,-80.14446913,25.88334941,0,0,1,N,4.829105,62,62,11,5,5,11.82323,0,9999.99,3.36,3.487,2,9,31.4,0,31.39999962,16.23,1528.93903,10/21/21,10:33:00,26.69,26.57,16.23,1.385,7.91,-53.7,-5.2,-0.4,183101,91.9,6.73,12.8,
25.88096645,-80.1468663,56:47.9,10/21/21,11,0.962,136.3,-7.117706431,0.83,50.2,45.92,1.15,-3.29,36.2,0.01,3.4,3.4,93,29,511.5,16.2,-1.8,D,1179.3,0,357.385,1,0.98,160,42.15,-80.14446913,25.88334941,0,0,1,N,4.913848,64,64,11,5,5,11.2061,0,9999.99,3.41,3.537,2,9,31.4,0,31.39999962,16.23,1528.93903,10/21/21,10:33:00,26.69,26.57,16.23,1.385,7.91,-53.7,-5.2,-0.4,183101,91.9,6.73,12.8,
25.8809702,-80.14686148,56:48.9,10/21/21,11,0.973,136.3,-7.117706431,0.83,44.9,40.62,1.87,5.7,36.3,0,3.47,3.47,93,29,511.5,16.2,-1.8,D,1179.3,0,356.753,1,1.07,160,42.13,-80.14446913,25.88334941,0,0,1,N,5.056072,68,68,11,6,6,10.47756,0,9999.99,3.48,3.607,2,9,31.3,0,31.29999924,47.84,1561.39429,10/21/21,10:33:01,26.69,69.95,47.84,1.308,7.91,-53.7,-4.9,0.5,3096,92,5.63,13.1,
25.88097512,-80.14685906,56:49.9,10/21/21,11,1.204,136.3,-7.117706431,0.83,39.2,34.88,1.79,-2.63,36.2,0,3.35,3.35,93,29,511.5,16.2,-1.8,D,1172.2,0,356.184,1,1.02,160,42.16,-80.14446913,25.88334941,0,0,1,N,5.078896,68,68,11,30,30,10.67685,0,9999.99,3.36,3.487,2,9,31.3,0,31.29999924,39.67,1552.92667,10/21/21,10:33:02,26.69,59.36,39.67,1.329,7.91,-53.7,-3.4,-8.6,5945,91.9,5.89,12.9,
25.88097502,-80.1468485,56:50.9,10/21/21,11,2.148,119.72,-7.117706431,0.83,26.6,22.09,0.31,1.17,36.2,0,3.34,3.34,93,29,511.5,16.2,-1.8,D,1172.2,0,355.484,1,1.08,160,42.04,-80.14446913,25.88334941,0,0,1,N,4.85738,59,59,11,77,77,9.631367,0,9999.99,3.36,3.487,2,9,31.3,0,31.29999924,47.78,1561.33184,10/21/21,10:33:03,26.69,69.87,47.78,1.406,7.91,-53.8,-6.2,-6,620,92,5.64,13,
25.88097759,-80.14684441,56:51.9,10/21/21,10,0.845,119.72,-7.117706431,0.89,18.9,14.23,1.77,-7.56,36.3,0,3.48,3.49,93,29,511.5,16.2,-1.8,D,1172.2,0,354.998,1,1.03,160,42.02,-80.14446913,25.88334941,0,0,1,N,5.597286,71,71,11,106,106,7.446112,0,9999.99,3.49,3.617,2,9,31.2,0,31.20000076,47.74,1561.10095,10/21/21,10:33:05,26.68,69.82,47.74,1.312,7.91,-53.8,-4.4,-1.4,-5225,92.1,5.65,13,
25.88098299,-80.14684324,56:52.9,10/21/21,9,1.028,119.72,-7.117706431,0.93,19.5,14.84,1.07,0.93,36.3,0,3.49,3.49,93,29,511.5,16.2,-1.8,D,1172.2,0,354.474,1,1.13,160,42.07,-80.14446913,25.88334941,0,0,1,N,5.63519,61,61,11,109,109,7.872969,0,9999.99,3.49,3.617,2,9,31.2,0,31.20000076,47.74,1561.10095,10/21/21,10:33:05,26.68,69.82,47.74,1.312,7.91,-53.8,-4.4,-1.4,-5225,92.1,5.65,13,
25.88098842,-80.1468422,56:53.9,10/21/21,9,1.182,119.72,-7.117706431,0.93,18,13.31,1.84,-6.38,36.3,0,3.42,3.43,93,30,511.5,16.2,-1.8,D,1148.1,0,353.956,1,1.17,160,42.12,-80.14446913,25.88334941,0,0,1,N,5.307145,68,68,11,112,112,9.532665,0,9999.99,3.44,3.567,2,9,31.2,0,31.20000076,47.72,1561.07973,10/21/21,10:33:06,26.68,69.79,47.72,1.422,7.91,-53.8,-4.9,-3.8,965,92.1,5.65,12.8,
25.88099551,-80.14684335,56:54.9,10/21/21,11,1.412,78.86,-7.117706431,0.89,21.9,17.29,0.81,-2.16,36.3,0,3.47,3.47,93,30,511.5,16.2,-1.8,D,1148.1,0,353.449,1,1.19,160,42.22,-80.14446913,25.88334941,0,0,1,N,4.955735,63,63,11,120,120,12.22078,0,9999.99,3.48,3.607,2,9,31.2,0,31.20000076,47.67,1561.02798,10/21/21,10:33:08,26.69,69.72,47.67,1.327,7.91,-53.8,-3,-2.8,-2784,92.2,5.66,12.8,
25.88100238,-80.14684219,56:55.9,10/21/21,10,1.478,78.86,-7.117706431,0.89,18.1,13.41,1.64,2.36,36.3,0.01,3.43,3.43,93,30,511.5,16.2,-1.8,D,1148.1,0,352.806,1,1.25,160,42.29,-80.14446913,25.88334941,0,0,1,N,4.30877,67,67,11,134,134,15.06405,0,9999.99,3.44,3.567,2,9,31.1,0,31.20000076,47.67,1561.02798,10/21/21,10:33:08,26.69,69.72,47.67,1.327,7.91,-53.8,-3,-2.8,-2784,92.2,5.66,12.8,
25.88100895,-80.14684117,56:56.9,10/21/21,10,1.349,42.49,-7.117706431,0.89,15.8,11.06,1.88,-7.15,36.3,0,3.45,3.45,93,29,511.5,16.2,-1.8,D,1166.9,0,352.196,1,1.25,160,42.36,-80.14446913,25.88334941,0,0,1,N,3.903769,68,68,11,153,153,17.53928,0,9999.99,3.46,3.587,2,9,31.1,0,31.10000038,47.64,1560.80683,10/21/21,10:33:09,26.69,69.69,47.64,1.293,7.91,-53.7,-3.8,-3.7,1523,92.2,5.66,12.9,
25.88101554,-80.14684147,56:57.9,10/21/21,10,1.153,42.49,-7.117706431,0.89,23.2,18.62,0.55,1.1,36.4,0,3.44,3.44,93,29,511.5,16.2,-1.8,D,1166.9,0,351.676,1,1.25,159,42.44,-80.14446913,25.88334941,0,0,1,N,3.492715,64,64,11,158,158,20.58473,0,9999.99,3.46,3.587,2,9,31.1,0,31.10000038,47.61,1560.77533,10/21/21,10:33:11,26.69,69.65,47.61,1.324,7.91,-53.8,-4.3,-5.6,-2038,92.3,5.66,12.9,
25.88102221,-80.1468415,56:58.9,10/21/21,11,1.393,17.34,-7.117706431,0.89,23.6,19.03,1.82,-1.51,36.4,0.01,3.5,3.51,93,29,511.5,16.2,-1.8,D,1166.9,0,351.131,1,1.25,159,42.53,-80.14446913,25.88334941,0,0,1,N,2.744937,68,68,11,147,147,24.02888,0,9999.99,3.5,3.627,2,9,31.1,0,31.10000038,47.61,1560.77533,10/21/21,10:33:11,26.69,69.65,47.61,1.324,7.91,-53.8,-4.3,-5.6,-2038,92.3,5.66,12.9,
25.88102818,-80.14684077,56:59.9,10/21/21,11,1.184,17.34,-7.117706431,0.83,27.6,23.11,0.67,1.11,36.4,0.01,3.5,3.51,93,29,511.5,16.2,-1.8,D,1166.9,0,350.592,1,1.24,159,42.59,-80.14446913,25.88334941,0,0,1,N,2.342514,61,61,11,141,141,26.64605,0,9999.99,3.51,3.637,2,9,31,0,31,47.56,1560.53314,10/21/21,10:33:13,26.69,69.59,47.56,1.385,7.91,-53.7,-6,-3.3,5912,92.4,5.67,13.1,
25.88103238,-80.14683942,57:00.9,10/21/21,11,0.88,17.34,-7.117706431,0.83,24.4,19.84,1.44,0.96,36.4,0,3.45,3.45,93,28,511.5,16.2,-1.7,D,1211.3,0,350.157,1,1.25,159,42.63,-80.14446913,25.88334941,0,0,1,N,2.123782,66,66,11,160,160,28.09973,0,9999.99,3.46,3.587,2,9,31,0,31,47.56,1560.53314,10/21/21,10:33:13,26.69,69.59,47.56,1.385,7.91,-53.7,-6,-3.3,5912,92.4,5.67,13.1,
25.88103802,-80.14683802,57:01.9,10/21/21,11,1.104,17.34,-7.117706431,0.83,22.2,17.6,0.72,-5.05,36.4,0,3.43,3.43,93,28,511.5,16.2,-1.7,D,1211.3,0,349.601,1,1.25,159,42.68,-80.14446913,25.88334941,0,0,1,N,1.79803,65,65,11,175,175,30.2997,0,9999.99,3.44,3.567,2,9,31,0,31,43.28,1556.08616,10/21/21,10:33:14,26.69,64.08,43.28,1.313,7.91,-53.8,-5,-6.2,-4146,92.4,5.81,12.9,
25.88104365,-80.14683718,57:03.0,10/21/21,11,1.315,15.33,-7.117706431,0.89,30.2,25.75,0.89,-3.57,36.4,0.01,3.42,3.42,93,28,511.5,16.2,-1.7,D,1211.3,0,349.084,1,1.23,158,42.74,-80.14446913,25.88334941,0,0,1,N,1.558225,62,62,11,155,155,32.80301,0,9999.99,3.42,3.547,2,9,31,0,31,47.5,1560.47028,10/21/21,10:33:16,26.69,69.51,47.5,1.357,7.9,-53.6,-4.4,-0.6,884,92.6,5.68,12.8,
25.88105044,-80.14683626,57:04.0,10/21/21,10,1.119,15.33,-7.117706431,0.89,31.2,26.77,1.96,-2.21,36.4,0.01,3.4,3.41,93,28,511.4,16.2,-1.7,D,1208.5,0,348.468,1,1.28,158,42.81,-80.14446913,25.88334941,0,0,1,N,0.9873895,69,69,11,164,164,35.93042,0,9999.99,3.41,3.537,2,9,30.9,0,30.89999962,47.48,1560.25825,10/21/21,10:33:17,26.69,69.49,47.48,1.295,7.9,-53.6,-5.5,-1.9,3012,92.6,5.68,12.9,
25.88105527,-80.14683374,57:05.0,10/21/21,11,1.207,15.33,-7.117706431,0.89,34.3,29.92,0.48,-2.91,36.4,0.01,3.39,3.4,93,28,511.4,16.2,-1.7,D,1208.5,0,347.902,1,1.21,158,42.84,-80.14446913,25.88334941,0,0,1,N,0.7969533,60,60,11,156,156,37.27758,0,9999.99,3.41,3.537,2,9,30.9,0,30.89999962,47.48,1560.25825,10/21/21,10:33:17,26.69,69.49,47.48,1.295,7.9,-53.6,-5.5,-1.9,3012,92.6,5.68,12.9,
25.88106143,-80.14683322,57:06.0,10/21/21,11,1.212,15.33,-7.117706431,0.83,35,30.63,-0.81,-1.27,36.4,0,3.37,3.38,93,28,511.4,16.2,-1.7,D,1208.5,0,347.365,1,1.25,158,42.91,-80.14446913,25.88334941,0,0,1,N,0.3663232,52,52,11,166,166,40.34473,0,9999.99,3.39,3.517,2,9,30.9,0,30.89999962,22.81,1534.67815,10/21/21,10:33:18,26.69,36.2,22.81,1.333,7.91,-53.7,38.4,-8.6,9463,92.5,6.52,12.9,
25.88106807,-80.14683369,57:07.0,10/21/21,11,1.499,6.09,-7.117706431,0.83,40.2,35.89,1.62,-6.8,36.4,0,3.36,3.37,93,28,511.4,16.2,-1.7,D,1208.5,0,346.856,1,1.24,157,43,-80.14446913,25.88334941,0,0,1,N,0.1726169,69,69,11,170,170,44.20242,0,9999.99,3.35,3.477,2,9,30.9,0,30.89999962,47.45,1560.22666,10/21/21,10:33:19,26.68,69.45,47.45,1.268,7.9,-53.6,-3.4,-7.3,1346,92.6,5.68,12.9,
25.88107402,-80.14683228,57:08.0,10/21/21,11,1.452,8.03,-7.117706431,0.85,40.1,35.79,0.38,1.76,36.4,0.01,3.32,3.32,93,28,511.4,16.2,-1.7,D,1200.3,0,346.276,1,1.2,157,43.06,-80.14446913,25.88334941,0,0,1,N,0.5251498,55,55,11,173,173,46.72212,0,9999.99,3.32,3.447,2,9,30.9,0,30.89999962,44.89,1557.56499,10/21/21,10:33:21,26.66,66.16,44.89,1.484,7.9,-53.6,-4.2,8.4,5095,92.7,5.77,12.9,
25.88107968,-80.14683115,57:09.0,10/21/21,11,1.08,8.03,-7.117706431,0.83,39.9,35.58,0.39,-3.22,36.5,0.01,3.29,3.29,93,28,511.4,16.2,-1.7,D,1200.3,0,345.739,1,1.17,157,43.11,-80.14446913,25.88334941,0,0,1,N,0.8690606,59,59,11,181,181,49.16618,0,9999.99,3.3,3.427,2,9,30.8,0,30.89999962,44.89,1557.56499,10/21/21,10:33:21,26.66,66.16,44.89,1.484,7.9,-53.6,-4.2,8.4,5095,92.7,5.77,12.9,
25.88108371,-80.14682987,57:10.0,10/21/21,11,0.914,8.03,-7.117706431,0.83,45.2,40.92,0.71,-0.01,36.4,0,3.44,3.44,93,27,511.4,16.2,-1.7,D,1243.7,0,345.325,1,1.22,157,43.15,-80.14446913,25.88334941,0,0,1,N,1.078718,67,67,11,177,177,50.64542,0,9999.99,3.44,3.567,2,9,30.8,0,30.79999924,47.39,1559.97181,10/21/21,10:33:22,26.67,69.37,47.39,1.266,7.9,-53.5,-3.2,0.5,-5005,92.6,5.69,12.9,
